ICD-10-CM Codes,Description,Tags
S32613A,"Displaced avulsion fracture of unspecified ischium, initial encounter for closed fracture",
S32613B,"Displaced avulsion fracture of unspecified ischium, initial encounter for open fracture",
S32614A,"Nondisplaced avulsion fracture of right ischium, initial encounter for closed fracture",
S32614B,"Nondisplaced avulsion fracture of right ischium, initial encounter for open fracture",
S32615A,"Nondisplaced avulsion fracture of left ischium, initial encounter for closed fracture",
S32615B,"Nondisplaced avulsion fracture of left ischium, initial encounter for open fracture",
S32616A,"Nondisplaced avulsion fracture of unspecified ischium, initial encounter for closed fracture",
S32616B,"Nondisplaced avulsion fracture of unspecified ischium, initial encounter for open fracture",
S32691A,"Other specified fracture of right ischium, initial encounter for closed fracture",
S32691B,"Other specified fracture of right ischium, initial encounter for open fracture",
S32692A,"Other specified fracture of left ischium, initial encounter for closed fracture",
S32692B,"Other specified fracture of left ischium, initial encounter for open fracture",
S32699A,"Other specified fracture of unspecified ischium, initial encounter for closed fracture",
S32699B,"Other specified fracture of unspecified ischium, initial encounter for open fracture",
S32810A,"Multiple fractures of pelvis with stable disruption of pelvic ring, initial encounter for closed fracture",
S32810B,"Multiple fractures of pelvis with stable disruption of pelvic ring, initial encounter for open fracture",
S32811A,"Multiple fractures of pelvis with unstable disruption of pelvic ring, initial encounter for closed fracture",
S32811B,"Multiple fractures of pelvis with unstable disruption of pelvic ring, initial encounter for open fracture",
S3282XA,"Multiple fractures of pelvis without disruption of pelvic ring, initial encounter for closed fracture",
S3282XB,"Multiple fractures of pelvis without disruption of pelvic ring, initial encounter for open fracture",
S3289XA,"Fracture of other parts of pelvis, initial encounter for closed fracture",
S3289XB,"Fracture of other parts of pelvis, initial encounter for open fracture",
S329XXA,"Fracture of unspecified parts of lumbosacral spine and pelvis, initial encounter for closed fracture",
S329XXB,"Fracture of unspecified parts of lumbosacral spine and pelvis, initial encounter for open fracture",
S3401XA,"Concussion and edema of lumbar spinal cord, initial encounter",
S3401XD,"Concussion and edema of lumbar spinal cord, subsequent encounter",
S3402XA,"Concussion and edema of sacral spinal cord, initial encounter",
S3402XD,"Concussion and edema of sacral spinal cord, subsequent encounter",
S34101A,"Unspecified injury to L1 level of lumbar spinal cord, initial encounter",
S34101D,"Unspecified injury to L1 level of lumbar spinal cord, subsequent encounter",
S34102A,"Unspecified injury to L2 level of lumbar spinal cord, initial encounter",
S34102D,"Unspecified injury to L2 level of lumbar spinal cord, subsequent encounter",
S34103A,"Unspecified injury to L3 level of lumbar spinal cord, initial encounter",
S34103D,"Unspecified injury to L3 level of lumbar spinal cord, subsequent encounter",
S34104A,"Unspecified injury to L4 level of lumbar spinal cord, initial encounter",
S34104D,"Unspecified injury to L4 level of lumbar spinal cord, subsequent encounter",
S34105A,"Unspecified injury to L5 level of lumbar spinal cord, initial encounter",
S34105D,"Unspecified injury to L5 level of lumbar spinal cord, subsequent encounter",
S34109A,"Unspecified injury to unspecified level of lumbar spinal cord, initial encounter",
S34109D,"Unspecified injury to unspecified level of lumbar spinal cord, subsequent encounter",
S34111A,"Complete lesion of L1 level of lumbar spinal cord, initial encounter",
S34111D,"Complete lesion of L1 level of lumbar spinal cord, subsequent encounter",
S34112A,"Complete lesion of L2 level of lumbar spinal cord, initial encounter",
S34112D,"Complete lesion of L2 level of lumbar spinal cord, subsequent encounter",
S34113A,"Complete lesion of L3 level of lumbar spinal cord, initial encounter",
S34113D,"Complete lesion of L3 level of lumbar spinal cord, subsequent encounter",
S34114A,"Complete lesion of L4 level of lumbar spinal cord, initial encounter",
S34114D,"Complete lesion of L4 level of lumbar spinal cord, subsequent encounter",
S34115A,"Complete lesion of L5 level of lumbar spinal cord, initial encounter",
S34115D,"Complete lesion of L5 level of lumbar spinal cord, subsequent encounter",
S34119A,"Complete lesion of unspecified level of lumbar spinal cord, initial encounter",
S34119D,"Complete lesion of unspecified level of lumbar spinal cord, subsequent encounter",
S34121A,"Incomplete lesion of L1 level of lumbar spinal cord, initial encounter",
S34121D,"Incomplete lesion of L1 level of lumbar spinal cord, subsequent encounter",
S34122A,"Incomplete lesion of L2 level of lumbar spinal cord, initial encounter",
S34122D,"Incomplete lesion of L2 level of lumbar spinal cord, subsequent encounter",
S34123A,"Incomplete lesion of L3 level of lumbar spinal cord, initial encounter",
S34123D,"Incomplete lesion of L3 level of lumbar spinal cord, subsequent encounter",
S34124A,"Incomplete lesion of L4 level of lumbar spinal cord, initial encounter",
S34124D,"Incomplete lesion of L4 level of lumbar spinal cord, subsequent encounter",
S34125A,"Incomplete lesion of L5 level of lumbar spinal cord, initial encounter",
S34125D,"Incomplete lesion of L5 level of lumbar spinal cord, subsequent encounter",
S34129A,"Incomplete lesion of unspecified level of lumbar spinal cord, initial encounter",
S34129D,"Incomplete lesion of unspecified level of lumbar spinal cord, subsequent encounter",
S34131A,"Complete lesion of sacral spinal cord, initial encounter",
S34131D,"Complete lesion of sacral spinal cord, subsequent encounter",
S34132A,"Incomplete lesion of sacral spinal cord, initial encounter",
S34132D,"Incomplete lesion of sacral spinal cord, subsequent encounter",
S34139A,"Unspecified injury to sacral spinal cord, initial encounter",
S34139D,"Unspecified injury to sacral spinal cord, subsequent encounter",
S343XXA,"Injury of cauda equina, initial encounter",
S48011A,"Complete traumatic amputation at right shoulder joint, initial encounter",
S48012A,"Complete traumatic amputation at left shoulder joint, initial encounter",
S48019A,"Complete traumatic amputation at unspecified shoulder joint, initial encounter",
S48021A,"Partial traumatic amputation at right shoulder joint, initial encounter",
S48022A,"Partial traumatic amputation at left shoulder joint, initial encounter",
S48029A,"Partial traumatic amputation at unspecified shoulder joint, initial encounter",
S48111A,"Complete traumatic amputation at level between right shoulder and elbow, initial encounter",
S48112A,"Complete traumatic amputation at level between left shoulder and elbow, initial encounter",
S48119A,"Complete traumatic amputation at level between unspecified shoulder and elbow, initial encounter",
S48121A,"Partial traumatic amputation at level between right shoulder and elbow, initial encounter",
S48122A,"Partial traumatic amputation at level between left shoulder and elbow, initial encounter",
S48129A,"Partial traumatic amputation at level between unspecified shoulder and elbow, initial encounter",
S48911A,"Complete traumatic amputation of right shoulder and upper arm, level unspecified, initial encounter",
S48912A,"Complete traumatic amputation of left shoulder and upper arm, level unspecified, initial encounter",
S48919A,"Complete traumatic amputation of unspecified shoulder and upper arm, level unspecified, initial encounter",
S48921A,"Partial traumatic amputation of right shoulder and upper arm, level unspecified, initial encounter",
S48922A,"Partial traumatic amputation of left shoulder and upper arm, level unspecified, initial encounter",
S48929A,"Partial traumatic amputation of unspecified shoulder and upper arm, level unspecified, initial encounter",
S58011A,"Complete traumatic amputation at elbow level, right arm, initial encounter",
S58012A,"Complete traumatic amputation at elbow level, left arm, initial encounter",
S58019A,"Complete traumatic amputation at elbow level, unspecified arm, initial encounter",
S58021A,"Partial traumatic amputation at elbow level, right arm, initial encounter",
S58022A,"Partial traumatic amputation at elbow level, left arm, initial encounter",
S58029A,"Partial traumatic amputation at elbow level, unspecified arm, initial encounter",
S58111A,"Complete traumatic amputation at level between elbow and wrist, right arm, initial encounter",
S58112A,"Complete traumatic amputation at level between elbow and wrist, left arm, initial encounter",
S58119A,"Complete traumatic amputation at level between elbow and wrist, unspecified arm, initial encounter",
S58121A,"Partial traumatic amputation at level between elbow and wrist, right arm, initial encounter",
S58122A,"Partial traumatic amputation at level between elbow and wrist, left arm, initial encounter",
S58129A,"Partial traumatic amputation at level between elbow and wrist, unspecified arm, initial encounter",
S58911A,"Complete traumatic amputation of right forearm, level unspecified, initial encounter",
S58912A,"Complete traumatic amputation of left forearm, level unspecified, initial encounter",
S58919A,"Complete traumatic amputation of unspecified forearm, level unspecified, initial encounter",
S58921A,"Partial traumatic amputation of right forearm, level unspecified, initial encounter",
S58922A,"Partial traumatic amputation of left forearm, level unspecified, initial encounter",
S58929A,"Partial traumatic amputation of unspecified forearm, level unspecified, initial encounter",
S68411A,"Complete traumatic amputation of right hand at wrist level, initial encounter",
S68412A,"Complete traumatic amputation of left hand at wrist level, initial encounter",
S68419A,"Complete traumatic amputation of unspecified hand at wrist level, initial encounter",
S68421A,"Partial traumatic amputation of right hand at wrist level, initial encounter",
S68422A,"Partial traumatic amputation of left hand at wrist level, initial encounter",
S68429A,"Partial traumatic amputation of unspecified hand at wrist level, initial encounter",
